Timestamp,EarShoulderDiff,ShoulderHipDiff,PostureStatus,SpineAngle,HunchbackStatus
2025-07-10 11:36:46.743,0.0000,0.0000,False,,0
2025-07-10 11:36:49.857,-0.3757,-0.6832,False,,0
2025-07-10 11:36:52.975,-0.3767,-0.6859,False,,0
2025-07-10 11:36:56.077,-0.3422,-0.6890,False,,0
2025-07-10 11:36:59.177,-0.3214,-0.6869,False,,0
2025-07-10 11:37:02.275,-0.3170,-0.6930,False,,0
2025-07-10 11:37:05.376,-0.3055,-0.6917,False,,0
2025-07-10 11:37:08.498,-0.3201,-0.6935,False,,0
2025-07-10 11:37:11.608,-0.3345,-0.6939,False,,0
2025-07-10 11:37:14.710,-0.3442,-0.6961,False,,0
2025-07-10 11:37:17.810,-0.3444,-0.6964,False,,0
2025-07-10 11:37:20.915,-0.3588,-0.7220,False,,0
2025-07-10 11:37:24.010,-0.3421,-0.7264,False,,0
2025-07-10 11:37:27.113,-0.3448,-0.7352,False,,0
2025-07-10 11:37:30.230,-0.3511,-0.7419,False,,0
2025-07-10 11:37:33.358,-0.3447,-0.7461,False,,0
2025-07-10 11:37:36.456,-0.3522,-0.7620,False,,0
2025-07-10 11:37:39.549,-0.3488,-0.7686,False,,0
2025-07-10 11:37:42.643,-0.3447,-0.7739,False,,0
2025-07-10 11:37:45.760,-0.3454,-0.7675,False,,0
2025-07-10 11:37:48.867,-0.3579,-0.7176,False,,0
2025-07-10 11:37:51.990,-0.3615,-0.7111,False,,0
2025-07-10 11:37:55.111,-0.3651,-0.7036,False,,0
2025-07-10 11:37:58.243,-0.3647,-0.6930,False,,0
2025-07-10 11:38:01.370,-0.3669,-0.6944,False,,0
2025-07-10 11:38:04.481,-0.3664,-0.6936,False,,0
2025-07-10 11:38:07.602,-0.3664,-0.6951,False,,0
2025-07-10 11:38:10.707,-0.3650,-0.6870,False,,0
2025-07-10 11:38:13.827,-0.3653,-0.6879,False,,0
2025-07-10 11:38:16.962,-0.3653,-0.6874,False,,0
2025-07-10 11:38:20.062,-0.3645,-0.6873,False,,0
2025-07-10 11:38:23.193,-0.3631,-0.6816,False,,0
2025-07-10 11:38:26.290,-0.3595,-0.6830,False,,0
2025-07-10 11:38:29.395,-0.3563,-0.6852,False,,0
2025-07-10 11:38:32.516,-0.3498,-0.7266,False,,0
2025-07-10 11:38:35.633,-0.3554,-0.7720,False,,0
2025-07-10 11:38:38.766,-0.3513,-0.7750,False,,0
2025-07-10 11:38:41.893,-0.3405,-0.7822,False,,0
2025-07-10 11:38:44.998,-0.3197,-0.7758,False,,0
2025-07-10 11:38:48.131,-0.3215,-0.7676,False,,0
2025-07-10 11:38:51.263,-0.3268,-0.7637,False,,0
2025-07-10 11:38:54.361,-0.3360,-0.7184,False,,0
2025-07-10 11:38:57.499,-0.3394,-0.7019,False,,0
2025-07-10 11:39:00.601,-0.3409,-0.6947,False,,0
2025-07-10 11:39:03.723,-0.3349,-0.6910,False,,0
2025-07-10 11:39:06.832,-0.3319,-0.6888,False,,0
2025-07-10 11:39:09.971,-0.3344,-0.6893,False,,0
2025-07-10 11:39:13.102,-0.3312,-0.6905,False,,0
2025-07-10 11:39:16.233,-0.3373,-0.7072,False,,0
2025-07-10 11:39:19.368,-0.3711,-0.7442,False,,0
2025-07-10 11:39:22.474,-0.3758,-0.7561,False,,0
2025-07-10 11:39:25.598,-0.3548,-0.7481,False,,0
2025-07-10 11:39:28.705,-0.3455,-0.7416,False,,0
2025-07-10 11:39:31.831,-0.3490,-0.7451,False,,0
2025-07-10 11:39:34.932,-0.3465,-0.7488,False,,0
2025-07-10 11:39:38.068,-0.3663,-0.7413,False,,0
2025-07-10 11:39:41.171,-0.3650,-0.7198,False,,0
2025-07-10 11:39:44.275,-0.3639,-0.7158,False,,0
2025-07-10 11:39:47.407,-0.3627,-0.7161,False,,0
2025-07-10 11:39:50.535,-0.3636,-0.7135,False,,0
2025-07-10 11:39:53.635,-0.3765,-0.7273,False,,0
2025-07-10 11:39:56.770,-0.4035,-0.7887,False,,0
2025-07-10 11:39:59.872,-0.4218,-0.8228,False,,0
2025-07-10 11:40:03.006,-0.4269,-0.8364,False,,0
2025-07-10 11:40:06.141,-0.4279,-0.8474,False,,0
2025-07-10 11:40:09.276,-0.4242,-0.8668,False,,0
2025-07-10 11:40:12.388,-0.4275,-0.8765,False,,0
2025-07-10 11:40:15.503,-0.4238,-0.8478,False,,0
2025-07-10 11:40:18.607,-0.4090,-0.8024,False,,0
2025-07-10 11:40:21.739,-0.3997,-0.7989,False,,0
2025-07-10 11:40:24.839,-0.3881,-0.7800,False,,0
2025-07-10 11:40:27.947,-0.3643,-0.7827,False,,0
2025-07-10 11:40:31.101,-0.3588,-0.7899,False,,0
2025-07-10 11:40:34.226,-0.3549,-0.7940,False,,0
2025-07-10 11:40:37.334,-0.3473,-0.8034,False,,0
2025-07-10 11:40:40.441,-0.3393,-0.8040,False,,0
2025-07-10 11:40:43.574,-0.3332,-0.8045,False,,0
2025-07-10 11:40:46.684,-0.3279,-0.8151,False,,0
2025-07-10 11:40:49.806,-0.3507,-0.8226,False,,0
2025-07-10 11:40:52.912,-0.2651,-0.8260,False,,0
2025-07-10 11:40:56.035,-0.2853,-0.8260,False,,0
2025-07-10 11:40:59.143,-0.2996,-0.8040,False,,0
2025-07-10 11:41:02.247,-0.3063,-0.7952,False,,0
2025-07-10 11:41:05.382,-0.3078,-0.7918,False,,0
2025-07-10 11:41:08.481,-0.3149,-0.7952,False,,0
2025-07-10 11:41:11.614,-0.3427,-0.8212,False,,0
2025-07-10 11:41:14.719,-0.3471,-0.8229,False,,0
2025-07-10 11:41:17.846,-0.4179,-0.9074,False,,0
2025-07-10 11:41:20.982,-0.3944,-0.8293,False,,0
2025-07-10 11:41:24.098,-0.3699,-0.8250,False,,0
2025-07-10 11:41:27.214,-0.3575,-0.8242,False,,0
2025-07-10 11:41:30.349,-0.3451,-0.8186,False,,0
2025-07-10 11:41:33.482,-0.3419,-0.8194,False,,0
2025-07-10 11:41:36.587,-0.3406,-0.8207,False,,0
2025-07-10 11:41:39.708,-0.3432,-0.8196,False,,0
2025-07-10 11:41:42.809,-0.3464,-0.8151,False,,0
2025-07-10 11:41:45.907,-0.3465,-0.8141,False,,0
2025-07-10 11:41:49.008,-0.3600,-0.8290,False,,0
2025-07-10 11:41:52.120,-0.3582,-0.8231,False,,0
2025-07-10 11:41:55.220,-0.3550,-0.8228,False,,0
2025-07-10 11:41:58.355,-0.3407,-0.8103,False,,0
